timestamp          , destination   , travel_duration, estimated_arrival_time, destination_temperature, destination_humidity, destination_pressure, destination_wind_speed, destination_cloud_coverage, destination_api_rain_probability, destination_api_prediction, time_of_day, month, historical_prediction_accuracy, model_prediction, model_confidence  , actual_rain, prediction_correctness
2026-05-22 21:29:33, Mannar        ,            16.3, 2026-05-22 21:45:51   ,                   23.9 ,                   89,                 1002,                  10.6 ,                         74,                             0.78,                          1,          21,     5,                         0.87  ,                 ,                   ,         1.0,                     
2026-05-22 23:35:33, Chengannur    ,            16.3, 2026-05-22 23:51:51   ,                   25.2 ,                   43,                 1011,                   2.0 ,                         34,                             0.17,                          0,          23,     5,                         0.82  ,                 ,                   ,         0.0,                     
2026-05-23 01:41:33, Chengannur    ,            24.5, 2026-05-23 02:06:03   ,                   20.2 ,                   87,                 1001,                  12.0 ,                         89,                             0.79,                          1,           2,     5,                         0.84  ,                 ,                   ,         1.0,                     
2026-05-23 03:47:33, Chengannur    ,            22.5, 2026-05-23 04:10:03   ,                   19.8 ,                   85,                 1000,                   9.6 ,                         70,                             0.9 ,                          1,           4,     5,                         0.85  ,                 ,                   ,         1.0,                     
2026-05-23 05:53:33, Thiruvalla    ,            17.1, 2026-05-23 06:10:39   ,                   23.0 ,                   97,                  995,                   4.9 ,                         80,                             0.9 ,                          1,           6,     5,                         0.8   ,                 ,                   ,         1.0,                     
2026-05-23 07:59:33, Chengannur    ,            15.9, 2026-05-23 08:15:27   ,                   20.7 ,                   83,                  999,                   4.7 ,                         83,                             0.6 ,                          1,           8,     5,                         0.81  ,                 ,                   ,         1.0,                     
2026-05-23 10:05:33, Thiruvalla    ,            18.6, 2026-05-23 10:24:09   ,                   28.7 ,                   54,                 1012,                   4.0 ,                          5,                             0.13,                          0,          10,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-23 12:11:33, Chengannur    ,            17.3, 2026-05-23 12:28:51   ,                   31.2 ,                   39,                 1012,                   3.9 ,                         15,                             0.28,                          0,          12,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-23 14:17:33, Thiruvalla    ,            18.2, 2026-05-23 14:35:45   ,                   17.7 ,                   99,                 1003,                   9.3 ,                         93,                             0.78,                          1,          14,     5,                         0.84  ,                 ,                   ,         1.0,                     
2026-05-23 16:23:33, Chengannur    ,            23.5, 2026-05-23 16:47:03   ,                   24.0 ,                   53,                 1021,                   5.3 ,                         14,                             0.11,                          0,          16,     5,                         0.88  ,                 ,                   ,         0.0,                     
2026-05-23 18:29:33, Mannar        ,            17.0, 2026-05-23 18:46:33   ,                   31.3 ,                   64,                 1020,                   2.4 ,                         40,                             0.07,                          0,          18,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-23 20:35:33, Chengannur    ,            18.2, 2026-05-23 20:53:45   ,                   18.4 ,                   93,                  997,                   6.7 ,                         99,                             0.83,                          1,          20,     5,                         0.88  ,                 ,                   ,         1.0,                     
2026-05-23 22:41:33, Chengannur    ,            14.4, 2026-05-23 22:55:57   ,                   25.3 ,                   67,                 1015,                   2.9 ,                         39,                             0.17,                          0,          22,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-24 00:47:33, Chengannur    ,            23.0, 2026-05-24 01:10:33   ,                   19.7 ,                   80,                  993,                   8.9 ,                         94,                             0.63,                          1,           1,     5,                         0.8   ,                 ,                   ,         1.0,                     
2026-05-24 02:53:33, Chengannur    ,            14.6, 2026-05-24 03:08:09   ,                   26.7 ,                   42,                 1019,                   1.5 ,                         29,                             0.08,                          0,           3,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-24 04:59:33, Chengannur    ,            18.0, 2026-05-24 05:17:33   ,                   26.9 ,                   66,                 1019,                   2.1 ,                         12,                             0.19,                          0,           5,     5,                         0.85  ,                 ,                   ,         0.0,                     
2026-05-24 07:05:33, Kozhencherry  ,            25.6, 2026-05-24 07:31:09   ,                   23.9 ,                   80,                  998,                  11.4 ,                         80,                             0.78,                          1,           7,     5,                         0.85  ,                 ,                   ,         1.0,                     
2026-05-24 09:11:33, Mannar        ,            16.7, 2026-05-24 09:28:15   ,                   29.5 ,                   65,                 1011,                   2.0 ,                         24,                             0.09,                          0,           9,     5,                         0.83  ,                 ,                   ,         0.0,                     
2026-05-24 11:17:33, Mannar        ,            16.5, 2026-05-24 11:34:03   ,                   26.5 ,                   42,                 1011,                   4.9 ,                         12,                             0.19,                          0,          11,     5,                         0.84  ,                 ,                   ,         0.0,                     
2026-05-24 13:23:33, Kozhencherry  ,            24.5, 2026-05-24 13:48:03   ,                   20.1 ,                   99,                 1001,                   3.8 ,                         98,                             0.85,                          1,          13,     5,                         0.85  ,                 ,                   ,         1.0,                     
2026-05-24 15:29:33, Chengannur    ,            17.3, 2026-05-24 15:46:51   ,                   21.8 ,                   95,                 1000,                  10.4 ,                         76,                             0.74,                          1,          15,     5,                         0.86  ,                 ,                   ,         1.0,                     
2026-05-24 17:35:33, Mannar        ,            16.6, 2026-05-24 17:52:09   ,                   31.5 ,                   67,                 1015,                   1.3 ,                         21,                             0.06,                          0,          17,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-24 19:41:33, Kumbanad      ,            19.8, 2026-05-24 20:01:21   ,                   29.4 ,                   50,                 1015,                   3.8 ,                         30,                             0.21,                          0,          20,     5,                         0.85  ,                 ,                   ,         0.0,                     
2026-05-24 21:47:33, Mannar        ,            15.3, 2026-05-24 22:02:51   ,                   23.7 ,                   90,                 1000,                   7.3 ,                         88,                             0.86,                          1,          22,     5,                         0.81  ,                 ,                   ,         1.0,                     
2026-05-24 23:53:33, Chengannur    ,            18.9, 2026-05-25 00:12:27   ,                   25.3 ,                   39,                 1013,                   5.0 ,                          7,                             0.19,                          0,           0,     5,                         0.85  ,                 ,                   ,         0.0,                     
2026-05-25 01:59:33, Kumbanad      ,            20.1, 2026-05-25 02:19:39   ,                   27.5 ,                   67,                 1011,                   2.0 ,                         39,                             0.26,                          0,           2,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-25 04:05:33, Mannar        ,            16.4, 2026-05-25 04:21:57   ,                   28.3 ,                   53,                 1010,                   4.3 ,                         46,                             0.11,                          0,           4,     5,                         0.86  ,                 ,                   ,         0.0,                     
2026-05-25 06:11:33, Thiruvalla    ,            19.1, 2026-05-25 06:30:39   ,                   19.4 ,                   90,                  997,                   5.9 ,                         80,                             0.78,                          1,           6,     5,                         0.8   ,                 ,                   ,         1.0,                     
2026-05-25 08:17:33, Kozhencherry  ,            25.4, 2026-05-25 08:42:57   ,                   20.0 ,                   88,                 1000,                  10.3 ,                         77,                             0.88,                          1,           8,     5,                         0.87  ,                 ,                   ,         0.0,                     
2026-05-25 10:23:33, Chengannur    ,            15.5, 2026-05-25 10:39:03   ,                   18.1 ,                   86,                 1001,                  11.1 ,                         75,                             0.58,                          1,          10,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-25 12:29:33, Kumbanad      ,            19.2, 2026-05-25 12:48:45   ,                   19.9 ,                   91,                 1006,                  11.6 ,                         85,                             0.95,                          1,          12,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-25 14:35:33, Chengannur    ,            19.2, 2026-05-25 14:54:45   ,                   21.1 ,                   89,                  993,                  10.9 ,                         72,                             0.78,                          1,          14,     5,                         0.84  ,                 ,                   ,         1.0,                     
2026-05-25 16:41:33, Chengannur    ,            17.0, 2026-05-25 16:58:33   ,                   23.6 ,                   84,                 1003,                   4.2 ,                         94,                             0.88,                          1,          16,     5,                         0.83  ,                 ,                   ,         1.0,                     
2026-05-25 18:47:33, Mannar        ,            13.7, 2026-05-25 19:01:15   ,                   28.1 ,                   65,                 1017,                   2.7 ,                         26,                             0.24,                          0,          19,     5,                         0.81  ,                 ,                   ,         0.0,                     
2026-05-25 20:53:33, Kumbanad      ,            20.8, 2026-05-25 21:14:21   ,                   23.3 ,                   89,                  999,                   8.2 ,                         97,                             0.94,                          1,          21,     5,                         0.82  ,                 ,                   ,         1.0,                     
